Id,Label,PageRank_Score
The_Open_Group,The Open Group,0.0013412388232565868
Smart_lock,Smart lock,0.002636625463889026
Identity_theft,Identity theft,0.0013676660172511313
Graph_theory,Graph theory,0.008901124646670677
DEF_CON,DEF CON,0.0013069530874154488
ASIS_International,ASIS International,0.0016086228608895715
Personnel,Personnel,0.0012534323468561923
Durable_goods,Durable goods,0.0014675808623422213
Aircraft,Aircraft,0.001857848411795374
GitHub,GitHub,0.001356225098740471
Fingerprint,Fingerprint,0.002417587886401779
Ant_colony,Ant colony,0.0021172874646438
Media_theory,Media theory,0.0013248775173845195
Fire_protection,Fire protection,0.001579792619143195
Herd_mentality,Herd mentality,0.0019139892482255918
Risk_factor_(computing),Risk factor (computing),0.0013412388232565868
Payment,Payment,0.002074737323747836
Liability_(financial_accounting),Liability (financial accounting),0.002142445489340766
Estonia,Estonia,0.0013069530874154488
Software,Software,0.005396575225028246
Mechanics,Mechanics,0.0016083515814726648
Ukraine,Ukraine,0.0023725246295155863
Systems_thinking,Systems thinking,0.0012534323468561923
Beaver_dam,Beaver dam,0.0013036951599913272
Egypt,Egypt,0.004188551897682087
Attack_(computing),Attack (computing),0.0013412388232565868
US_Department_of_Homeland_Security,US Department of Homeland Security,0.001356225098740471
Thomas_Jefferson,Thomas Jefferson,0.001926488000232231
Ross_Ashby,Ross Ashby,0.0013248775173845195
Software_bug,Software bug,0.003382728878954057
Access_control,Access control,0.0036561518768139446
Bluetooth,Bluetooth,0.010300993851288817
Machine,Machine,0.003285632409877251
Power_delivery,Power delivery,0.0015271109077513076
Integrity,Integrity,0.0013412388232565868
Service_drop,Service drop,0.0015271109077513076
Perimeter_intrusion_detection,Perimeter intrusion detection,0.001579792619143195
Intention,Intention,0.0013412388232565868
Academic_discipline,Academic discipline,0.002721599607487716
Chemical_substance,Chemical substance,0.0013036951599913272
Base_station,Base station,0.0016086228608895715
Algorithm,Algorithm,0.008655236187288626
Wireless_Sensor_Networks,Wireless Sensor Networks,0.0012534323468561923
Closed_system,Closed system,0.0021271821751516376
Razor_wire,Razor wire,0.001579792619143195
Wireless,Wireless,0.005255149722127284
Consumer,Consumer,0.0027658473903829145
Foreign_direct_investment,Foreign direct investment,0.0013128777158802462
Key-agreement_protocol,Key-agreement protocol,0.0015509136270759664
Smart_device,Smart device,0.0012512637021032868
Domain_Name_System_Security_Extensions,Domain Name System Security Extensions,0.0013255382736667596
Arc_lamp,Arc lamp,0.0017434886624247566
Salt_(cryptography),Salt (cryptography),0.0027300261290238623
Jeh_Johnson,Jeh Johnson,0.0013069530874154488
Structure,Structure,0.002433666337607983
Nonbuilding_structure,Nonbuilding structure,0.0019571883870397183
Physical_security,Physical security,0.008928215249918745
Steam_engine,Steam engine,0.003050712096814774
Security_token,Security token,0.0016083515814726648
Smartwatch,Smartwatch,0.002216652539145696
Austria,Austria,0.0013069530874154488
Collective_intelligence,Collective intelligence,0.003541173857530536
NIST,NIST,0.0032980317440214593
Theft,Theft,0.001579792619143195
African_countries,African countries,0.0012534323468561923
Building,Building,0.002306022649420967
David_Harvey_(geographer),David Harvey (geographer),0.0013128777158802462
Al-Kindi,Al-Kindi,0.002311417532040013
Resource,Resource,0.004491134842756
Pin_tumbler_lock,Pin tumbler lock,0.0035095891119831706
World-systems_theory,World-systems theory,0.0013128777158802462
2G,2G,0.009487504267997523
101st_Airborne_Division,101st Airborne Division,0.0014455171559838488
Georgia_(U.S._state),Georgia (U.S. state),0.0013069530874154488
Lock_(security_device),Lock (security device),0.004502541528917069
Keyhole,Keyhole,0.0028259183901379395
D-Day,D-Day,0.0014455171559838488
Economies_of_scale,Economies of scale,0.002682257651247044
Klaus_Schwab,Klaus Schwab,0.00146654665527622
Voting_machines,Voting machines,0.0013069530874154488
Code_injection,Code injection,0.002096477146933199
Nicolas_L%C3%A9onard_Sadi_Carnot,Nicolas L%C3%A9onard Sadi Carnot,0.004410952434567851
Warded_lock,Warded lock,0.0027346203404775256
Centrality,Centrality,0.0019139892482255918
Knowledge-based_economy,Knowledge-based economy,0.0012534323468561923
Cellular_networks,Cellular networks,0.0012534323468561923
Al-Qalqashandi,Al-Qalqashandi,0.001906258704657327
December_2015_Ukraine_power_grid_cyberattack,December 2015 Ukraine power grid cyberattack,0.0012534323468561923
Systems_theory,Systems theory,0.006551210887528546
Hierarchy,Hierarchy,0.005178850109756829
War_of_currents,War of currents,0.0015271109077513076
HIPERLAN,HIPERLAN,0.0012534323468561923
Idealism,Idealism,0.001501099877274641
Time,Time,0.003984429553736055
Structural_load,Structural load,0.0013036951599913272
Zigbee,Zigbee,0.0024474341847472124
Transmission_Control_Protocol,Transmission Control Protocol,0.0013255382736667596
Earthquake,Earthquake,0.0023455626013103126
Thomas_Edison,Thomas Edison,0.0036584703720286965
Theory,Theory,0.0013248775173845195
Africa,Africa,0.0015198252323812267
General_systems_theory,General systems theory,0.0013248775173845195
Ciphertext,Ciphertext,0.0046438980602457585
Ultra-wideband,Ultra-wideband,0.0012534323468561923
Smart_thermostat,Smart thermostat,0.0012534323468561923
Utility_pole,Utility pole,0.002825377435792001
Smart_keychain,Smart keychain,0.0012534323468561923
Systems_biology,Systems biology,0.0019139892482255918
Thermodynamics,Thermodynamics,0.006089905090054365
Hacktivist,Hacktivist,0.001949012081565169
Beguinage,Beguinage,0.0016083515814726648
Phablet,Phablet,0.0012534323468561923
Security_controls,Security controls,0.002406810365356724
Norbert_Wiener,Norbert Wiener,0.0017003167094141246
Small-world_network,Small-world network,0.0019139892482255918
Evolutionary_computation,Evolutionary computation,0.0019139892482255918
No-cloning_theorem,No-cloning theorem,0.002824914462820395
Nickel_silver,Nickel silver,0.0016083515814726648
Pearl_Street_Station,Pearl Street Station,0.0015271109077513076
Security_guards,Security guards,0.001579792619143195
Radio-frequency_identification,Radio-frequency identification,0.002559692964138749
Lattice_(order),Lattice (order),0.0013036951599913272
Harri_Hursti,Harri Hursti,0.0013069530874154488
MECE_principle,MECE principle,0.0014675808623422213
United_Nations,United Nations,0.0020753636539214077
ANT_(network),ANT (network),0.0012534323468561923
Wi-Fi,Wi-Fi,0.009395109520175766
Vehicular_automation,Vehicular automation,0.0012534323468561923
Ransomware,Ransomware,0.0033294366463644132
Swarm_behaviour,Swarm behaviour,0.0019139892482255918
Terminology,Terminology,0.0014675808623422213
Greek_language,Greek language,0.006450513056730738
Power_stations,Power stations,0.0015271109077513076
Near-field_communication,Near-field communication,0.001818315191195901
Computer_security,Computer security,0.0012002459582713648
Heterogeneity_in_economics,Heterogeneity in economics,0.0014675808623422213
Network_motif,Network motif,0.0019139892482255918
Passive_attack,Passive attack,0.0013412388232565868
4G,4G,0.007983994948375645
Futures_contract,Futures contract,0.002483675817672928
Personal_area_network,Personal area network,0.004291204427633773
Synchronization,Synchronization,0.0019139892482255918
Smart_speaker,Smart speaker,0.0012534323468561923
Subtransmission,Subtransmission,0.0015271109077513076
Complex_network,Complex network,0.004558064378601218
Salt_dome,Salt dome,0.0013036951599913272
5G,5G,0.005306267511597348
World_Trade_Organization,World Trade Organization,0.0012534323468561923
Conflict_of_interest,Conflict of interest,0.001356225098740471
Gas_lighting,Gas lighting,0.0017434886624247566
Common_Vulnerabilities_and_Exposures,Common Vulnerabilities and Exposures,0.0018347383157068453
Barbed_wire,Barbed wire,0.001579792619143195
U.S._Department_of_Homeland_Security,U.S. Department of Homeland Security,0.0013069530874154488
Global_Risks_Report,Global Risks Report,0.0012534323468561923
Dictionary_attack,Dictionary attack,0.001721903490655374
Electric_power_transmission,Electric power transmission,0.004829933546562217
Intangible_goods,Intangible goods,0.0014675808623422213
IP_address,IP address,0.0016162113058237786
Smart_band,Smart band,0.0012534323468561923
Rick_Astley,Rick Astley,0.0013069530874154488
Accumulation_by_dispossession,Accumulation by dispossession,0.0013128777158802462
Password,Password,0.004290818780232385
Lock_picking,Lock picking,0.002602952862407886
Zero-day_(computing),Zero-day (computing),0.0013676660172511313
NearLink,NearLink,0.0018614620251123167
Romanization_of_Ancient_Greek,Romanization of Ancient Greek,0.0021142932806378456
Hellenic_languages,Hellenic languages,0.0021142932806378456
Radiant_energy,Radiant energy,0.0013128777158802462
Red_Hat,Red Hat,0.001356225098740471
Louis_Althusser,Louis Althusser,0.0024289880673283694
OWASP,OWASP,0.0013412388232565868
Active_defense,Active defense,0.0013676660172511313
PricewaterhouseCoopers,PricewaterhouseCoopers,0.0012534323468561923
Transport_Layer_Security,Transport Layer Security,0.004999131253664159
Secure_channel,Secure channel,0.002127326462598375
Polybius,Polybius,0.0014455171559838488
Service_quality,Service quality,0.0014675808623422213
Fire,Fire,0.0017889307442668098
Code,Code,0.0021334572672113087
Option_(finance),Option (finance),0.002483675817672928
Wireless_local_area_network,Wireless local area network,0.0012534323468561923
List_of_business_theorists,List of business theorists,0.0014675808623422213
Control_system,Control system,0.001806711681424881
Particle_swarm_optimization,Particle swarm optimization,0.0019139892482255918
Incandescent_lamp,Incandescent lamp,0.0017434886624247566
World_Economic_Forum,World Economic Forum,0.003246084163451739
Lock_and_key,Lock and key,0.0022719270276731493
Pseudo-random,Pseudo-random,0.001501099877274641
Key_(cryptography),Key (cryptography),0.0045318383584560945
Chief_executive_officers,Chief executive officers,0.0012534323468561923
Mineral,Mineral,0.0013036951599913272
Ludwig_von_Bertalanffy,Ludwig von Bertalanffy,0.0013248775173845195
Organismic_theory,Organismic theory,0.0013128777158802462
Scalability,Scalability,0.0018320160082191314
Cryptography_law,Cryptography law,0.001501099877274641
Economic_sector,Economic sector,0.0016316402533126018
Office_building,Office building,0.001579792619143195
Operating_system,Operating system,0.007431242196595254
Overdetermination,Overdetermination,0.0013128777158802462
Hardware_bug,Hardware bug,0.0015130025333296407
Public_utility,Public utility,0.0014675808623422213
Fourth_Industrial_Revolution,Fourth Industrial Revolution,0.0012534323468561923
Cyber-physical_system,Cyber-physical system,0.00146654665527622
Competition_(economics),Competition (economics),0.0012534323468561923
Organism,Organism,0.0013036951599913272
Smart_card,Smart card,0.001590424950580824
Cyberwarfare,Cyberwarfare,0.0013676660172511313
Electric_motor,Electric motor,0.0015271109077513076
MIT,MIT,0.0023699493571838408
Cybersecurity_and_Infrastructure_Security_Agency,Cybersecurity and Infrastructure Security Agency,0.0029619365412260606
Cryptography,Cryptography,0.01687417302454254
Jefferson_disk,Jefferson disk,0.001501099877274641
Dynamic_network_analysis,Dynamic network analysis,0.0019139892482255918
Alice_and_Bob#Mallory,Alice and Bob#Mallory,0.0013255382736667596
Ant_colony_optimization_algorithms,Ant colony optimization algorithms,0.0019139892482255918
Quantum_cryptography,Quantum cryptography,0.0035272468742554054
Utilization_voltage,Utilization voltage,0.0015271109077513076
Marshall_McLuhan,Marshall McLuhan,0.0013248775173845195
Lone_wolf_(terrorism),Lone wolf (terrorism),0.0013069530874154488
Smart_doorbell,Smart doorbell,0.0016270205633049366
Keycard_lock,Keycard lock,0.001981939797921409
Election_security,Election security,0.002510302194775772
Wireless_network_standards,Wireless network standards,0.0012512637021032868
Wide_area_network,Wide area network,0.0012534323468561923
Asset,Asset,0.007112291468914287
Bulgaria,Bulgaria,0.0013069530874154488
Bit_(key),Bit (key),0.0016083515814726648
Business,Business,0.009256798901818901
Robert_Morris_(cryptographer),Robert Morris (cryptographer),0.0017561052971317688
Electric_power_distribution,Electric power distribution,0.007689158348737308
Maniple_(military_unit),Maniple (military unit),0.0014455171559838488
Capitalism,Capitalism,0.003767267825679249
Privatization,Privatization,0.0024289880673283694
Cyber_resilience,Cyber resilience,0.0013676660172511313
Voter_registration,Voter registration,0.0013069530874154488
Natural_disaster,Natural disaster,0.003761832753484798
Availability,Availability,0.0022469070892119987
Nation_state,Nation state,0.003916219448211482
Swap_(finance),Swap (finance),0.0016054892560395924
Praxis_intervention,Praxis intervention,0.0013128777158802462
Loan,Loan,0.00839966460590718
World_Bank,World Bank,0.002152717850912416
Genetic_algorithm,Genetic algorithm,0.0019139892482255918
Bond_(finance),Bond (finance),0.004811277416212832
Frequency_analysis,Frequency analysis,0.001906258704657327
Character_(computing),Character (computing),0.0014455171559838488
Commercial_software,Commercial software,0.001356225098740471
Dramaturgy,Dramaturgy,0.0014675808623422213
Election,Election,0.0016851609938718583
Network_eavesdropping,Network eavesdropping,0.0013255382736667596
Accident,Accident,0.0013412388232565868
Security_vulnerability,Security vulnerability,0.0019993509647509003
HTTP_Public_Key_Pinning,HTTP Public Key Pinning,0.0013255382736667596
Open_system_(systems_theory),Open system (systems theory),0.0013248775173845195
Business_administration,Business administration,0.00425530732887749
Mutual_authentication,Mutual authentication,0.0024882304022948347
Security_lighting,Security lighting,0.0029228683821738636
Jay_Wright_Forrester,Jay Wright Forrester,0.0012534323468561923
National_Cyber_Security_Division,National Cyber Security Division,0.001356225098740471
CCTV,CCTV,0.001579792619143195
GSM,GSM,0.008352053183287285
Confidentiality,Confidentiality,0.002859947753444611
Intangible_good,Intangible good,0.0014675808623422213
George_Westinghouse,George Westinghouse,0.0017434886624247566
Prison,Prison,0.001579792619143195
Isolated_system,Isolated system,0.0019156840571292303
ZRTP,ZRTP,0.0013255382736667596
Agent-based_model,Agent-based model,0.0019139892482255918
Phase_transition,Phase transition,0.0030222957518336846
OECD,OECD,0.002316580399038375
Stock,Stock,0.0016054892560395924
Software_patch,Software patch,0.0015130025333296407
Man-in-the-middle_attack,Man-in-the-middle attack,0.0029475441130482473
Symmetric-key_algorithm,Symmetric-key algorithm,0.0030189254499286763
Wireless_access_point,Wireless access point,0.0013255382736667596
Malware,Malware,0.003931175825877867
Never_Gonna_Give_You_Up,Never Gonna Give You Up,0.0013069530874154488
The_MITRE_Corporation,The MITRE Corporation,0.001356225098740471
Stage_(theatre),Stage (theatre),0.0014675808623422213
Musical_form,Musical form,0.0013036951599913272
Currency,Currency,0.002142445489340766
Assyria,Assyria,0.0016083515814726648
Self-organized_criticality,Self-organized criticality,0.0018320160082191314
Encryption,Encryption,0.007077128953556966
Corporate_finance,Corporate finance,0.0016054892560395924
CIA_triad,CIA triad,0.0015086588822363534
Public_finance,Public finance,0.0019836971624960014
Public-key_cryptography,Public-key cryptography,0.0028292782951265887
Cryptographic_hash_function,Cryptographic hash function,0.002795029214403585
World_Bank_Group,World Bank Group,0.0012534323468561923
Security_Content_Automation_Protocol,Security Content Automation Protocol,0.001356225098740471
6LoWPAN,6LoWPAN,0.0012534323468561923
Rudolf_Clausius,Rudolf Clausius,0.003199922194172032
Emergency_management,Emergency management,0.0012534323468561923
Theodorus_of_Samos,Theodorus of Samos,0.0016083515814726648
Vulnerability_(computing),Vulnerability (computing),0.0028048786726203134
Money,Money,0.006174979594064773
Security_convergence,Security convergence,0.0012512637021032868
Small_and_medium-sized_enterprises,Small and medium-sized enterprises,0.0012512637021032868
Common_utility_duct,Common utility duct,0.0015271109077513076
Season,Season,0.0014675808623422213
Aesthetics,Aesthetics,0.001579792619143195
Li-Fi,Li-Fi,0.0017736028051071218
Service_(economics),Service (economics),0.006288907556109347
Germany,Germany,0.004097874643121889
Banking_in_Africa,Banking in Africa,0.0012534323468561923
Threat_(security),Threat (security),0.0033166671182981193
Public_service,Public service,0.0017794934836571161
Energy,Energy,0.00650934004064582
Crime_prevention_through_environmental_design,Crime prevention through environmental design,0.001579792619143195
Non-performing_loan,Non-performing loan,0.0012534323468561923
Latin,Latin,0.004704774444855457
DECT,DECT,0.0012534323468561923
Construction,Construction,0.002511823955459135
Passphrase,Passphrase,0.002275686072636198
ISSA_(professional_organization),ISSA (professional organization),0.0012534323468561923
GDP,GDP,0.002501082832115772
Tunisia,Tunisia,0.0016788204698137822
Investment,Investment,0.001878473518705322
Alice_and_Bob,Alice and Bob,0.0024358149657788776
Finance,Finance,0.009532691524509543
Smart_glasses,Smart glasses,0.0012534323468561923
3G,3G,0.010888024709510299
System,System,0.0029319471928128536
Khnumhotep_II,Khnumhotep II,0.001501099877274641
Cybernetics,Cybernetics,0.003804341802609541
Risk_assessment,Risk assessment,0.0013676660172511313
Invasion_of_Normandy,Invasion of Normandy,0.0014455171559838488
Public_key_infrastructure,Public key infrastructure,0.0018949419175656867
Wireless_USB,Wireless USB,0.0018614620251123167
Business_continuity_planning,Business continuity planning,0.004403819446738953
Share_(finance),Share (finance),0.003731806010225442
Financial_system,Financial system,0.0016054892560395924
Electric_power_industry,Electric power industry,0.0015271109077513076
Personal_finance,Personal finance,0.0016054892560395924
Caesar_cipher,Caesar cipher,0.001811688018422561
Passwords,Passwords,0.0014791539427183639
Cyberattack,Cyberattack,0.0025973949820068724
Mass,Mass,0.0013128777158802462
Hardening_(computing),Hardening (computing),0.0013676660172511313
Environment_(systems),Environment (systems),0.0013248775173845195
Natanz,Natanz,0.0012534323468561923
"Lier,_Belgium","Lier, Belgium",0.0016083515814726648
Terrorist,Terrorist,0.002135331040683376
Espionage,Espionage,0.001579792619143195
Smartphone,Smartphone,0.008331208194559467
Automated_threat,Automated threat,0.0012512637021032868
User_(computing),User (computing),0.002608209284611924
Innovation,Innovation,0.0023190038889563296
Brass,Brass,0.0029756930251631265
Fence,Fence,0.004247899490737589
Kostas_Axelos,Kostas Axelos,0.0013128777158802462
Compatible_Time-Sharing_System,Compatible Time-Sharing System,0.0014455171559838488
Plaintext,Plaintext,0.005206356554101701
Risk_management,Risk management,0.007287763557840328
Government,Government,0.005056673477371716
Human_rights,Human rights,0.0032367231613424025
Micro-segmentation,Micro-segmentation,0.0013676660172511313
Physical_infrastructure,Physical infrastructure,0.0012534323468561923
Electrical_substation,Electrical substation,0.004829933546562217
Social_network_analysis,Social network analysis,0.004897161031951325
Skeleton,Skeleton,0.0013036951599913272
Software_bugs,Software bugs,0.0013676660172511313
Bank,Bank,0.005795962051033111
Gartner,Gartner,0.0012534323468561923
Link_(geometry),Link (geometry),0.0013036951599913272
Unix,Unix,0.003351101642572703
Romanization_of_Greek,Romanization of Greek,0.0021142932806378456
Stuxnet,Stuxnet,0.0012534323468561923
Bridge,Bridge,0.005980759344646158
Certificate_authority,Certificate authority,0.0020233575150339573
Business_cycle,Business cycle,0.0014675808623422213
France,France,0.0046754665830292886
Tornado,Tornado,0.0013412388232565868
Memorized,Memorized,0.0014455171559838488
Financial_instrument,Financial instrument,0.004420933117580505
Modern_Greek,Modern Greek,0.003911825434705097
Security,Security,0.006011342610889406
Jurisdiction,Jurisdiction,0.002769391373175982
Collective_action,Collective action,0.0019139892482255918
Theory_of_Evolution,Theory of Evolution,0.0013128777158802462
Protective_barriers,Protective barriers,0.001579792619143195
Steel,Steel,0.002279889462987999
Military_of_ancient_Rome,Military of ancient Rome,0.0014455171559838488
Cipher,Cipher,0.0037144706361030193
Web_application,Web application,0.0022639737299679163
Ancient_Greek_language,Ancient Greek language,0.005494536569346915
Solar_radiation,Solar radiation,0.008317095201542474
Zero_trust,Zero trust,0.0013676660172511313
Communications_system,Communications system,0.0016367901386994145
Threat_actor,Threat actor,0.0014865753393350962
Leon_Battista_Alberti,Leon Battista Alberti,0.001906258704657327
Company,Company,0.0032002555397906327
Tribune,Tribune,0.0014455171559838488
Crypt_(Unix),Crypt (Unix),0.002191990850020068
Nineveh,Nineveh,0.0016083515814726648
Australia,Australia,0.005029751439677336
Polyalphabetic_cipher,Polyalphabetic cipher,0.001906258704657327
Volt,Volt,0.003425883576126698
Chile,Chile,0.0012534323468561923
